longitude,index,date_valid_start_id,date_valid_end_id
197.09999,438,1000,999999
197.54999,439,1000,999999
198,440,1000,999999
198.45,441,1000,999999
198.9,442,1000,999999
199.34999,443,1000,999999
199.79999,444,1000,999999
200.25,445,1000,999999
200.7,446,1000,999999
201.15,447,1000,999999
201.59999,448,1000,999999
202.04999,449,1000,999999
202.5,450,1000,999999
202.95,451,1000,999999
203.4,452,1000,999999
203.84999,453,1000,999999
204.29999,454,1000,999999
204.75,455,1000,999999
205.2,456,1000,999999
205.65,457,1000,999999
206.09999,458,1000,999999
206.54999,459,1000,999999
207,460,1000,999999
207.45,461,1000,999999
207.9,462,1000,999999
208.34999,463,1000,999999
208.79999,464,1000,999999
209.25,465,1000,999999
209.7,466,1000,999999
210.15,467,1000,999999
210.59999,468,1000,999999
211.04999,469,1000,999999
211.5,470,1000,999999
211.95,471,1000,999999
212.4,472,1000,999999
212.84999,473,1000,999999
213.29999,474,1000,999999
213.75,475,1000,999999
214.2,476,1000,999999
214.65,477,1000,999999
215.09999,478,1000,999999
215.54999,479,1000,999999
216,480,1000,999999
216.45,481,1000,999999
216.9,482,1000,999999
217.34999,483,1000,999999
217.79999,484,1000,999999
218.25,485,1000,999999
218.7,486,1000,999999
219.15,487,1000,999999
219.59999,488,1000,999999
220.04999,489,1000,999999
220.5,490,1000,999999
220.95,491,1000,999999
221.4,492,1000,999999
221.84999,493,1000,999999
222.29999,494,1000,999999
222.75,495,1000,999999
223.2,496,1000,999999
223.65,497,1000,999999
224.09999,498,1000,999999
224.54999,499,1000,999999
225,500,1000,999999
225.45,501,1000,999999
225.9,502,1000,999999
226.34999,503,1000,999999
226.79999,504,1000,999999
227.25,505,1000,999999
227.7,506,1000,999999
228.15,507,1000,999999
228.59999,508,1000,999999
229.04999,509,1000,999999
229.5,510,1000,999999
229.95,511,1000,999999
230.4,512,1000,999999
230.84999,513,1000,999999
231.29999,514,1000,999999
231.75,515,1000,999999
232.2,516,1000,999999
232.65,517,1000,999999
233.09999,518,1000,999999
233.54999,519,1000,999999
234,520,1000,999999
234.45,521,1000,999999
234.9,522,1000,999999
235.34999,523,1000,999999
235.79999,524,1000,999999
236.25,525,1000,999999
236.7,526,1000,999999
237.15,527,1000,999999
237.59999,528,1000,999999
238.04999,529,1000,999999
238.5,530,1000,999999
238.95,531,1000,999999
239.4,532,1000,999999
239.84999,533,1000,999999
240.29999,534,1000,999999
240.75,535,1000,999999
241.2,536,1000,999999
241.65,537,1000,999999
242.09999,538,1000,999999
242.54999,539,1000,999999
243,540,1000,999999
243.45,541,1000,999999
243.9,542,1000,999999
244.34999,543,1000,999999
244.79999,544,1000,999999
245.25,545,1000,999999
245.7,546,1000,999999
246.15,547,1000,999999
246.59999,548,1000,999999
247.04999,549,1000,999999
247.5,550,1000,999999
247.95,551,1000,999999
248.4,552,1000,999999
248.84999,553,1000,999999
249.29999,554,1000,999999
249.75,555,1000,999999
250.2,556,1000,999999
250.65,557,1000,999999
251.09999,558,1000,999999
251.54999,559,1000,999999
252,560,1000,999999
252.45,561,1000,999999
252.9,562,1000,999999
253.34999,563,1000,999999
253.79999,564,1000,999999
254.25,565,1000,999999
254.7,566,1000,999999
255.15,567,1000,999999
255.59999,568,1000,999999
256.05,569,1000,999999
256.5,570,1000,999999
256.94998,571,1000,999999
257.4,572,1000,999999
257.85,573,1000,999999
258.3,574,1000,999999
258.75,575,1000,999999
259.19998,576,1000,999999
259.65,577,1000,999999
260.1,578,1000,999999
260.55,579,1000,999999
261,580,1000,999999
261.44998,581,1000,999999
261.9,582,1000,999999
262.35,583,1000,999999
262.8,584,1000,999999
263.25,585,1000,999999
263.69998,586,1000,999999
264.15,587,1000,999999
264.6,588,1000,999999
265.05,589,1000,999999
265.5,590,1000,999999
265.94998,591,1000,999999
266.4,592,1000,999999
266.85,593,1000,999999
267.3,594,1000,999999
267.75,595,1000,999999
268.19998,596,1000,999999
268.65,597,1000,999999
269.1,598,1000,999999
269.55,599,1000,999999
270,600,1000,999999
270.44998,601,1000,999999
270.9,602,1000,999999
271.35,603,1000,999999
271.8,604,1000,999999
272.25,605,1000,999999
272.69998,606,1000,999999
273.15,607,1000,999999
273.6,608,1000,999999
274.05,609,1000,999999
274.5,610,1000,999999
274.94998,611,1000,999999
275.4,612,1000,999999
275.85,613,1000,999999
276.3,614,1000,999999
276.75,615,1000,999999
277.19998,616,1000,999999
277.65,617,1000,999999
278.1,618,1000,999999
278.55,619,1000,999999
279,620,1000,999999
279.44998,621,1000,999999
279.9,622,1000,999999
280.35,623,1000,999999
280.8,624,1000,999999
281.25,625,1000,999999
281.69998,626,1000,999999
282.15,627,1000,999999
282.6,628,1000,999999
283.05,629,1000,999999
283.5,630,1000,999999
283.94998,631,1000,999999
284.4,632,1000,999999
284.85,633,1000,999999
285.3,634,1000,999999
285.75,635,1000,999999
286.19998,636,1000,999999
286.65,637,1000,999999
287.1,638,1000,999999
287.55,639,1000,999999
288,640,1000,999999
288.44998,641,1000,999999
288.9,642,1000,999999
289.35,643,1000,999999
289.8,644,1000,999999
290.25,645,1000,999999
290.69998,646,1000,999999
291.15,647,1000,999999
291.6,648,1000,999999
292.05,649,1000,999999
292.5,650,1000,999999
292.94998,651,1000,999999
293.4,652,1000,999999
293.85,653,1000,999999
294.3,654,1000,999999
294.75,655,1000,999999
295.19998,656,1000,999999
295.65,657,1000,999999
296.1,658,1000,999999
296.55,659,1000,999999
297,660,1000,999999
297.44998,661,1000,999999
297.9,662,1000,999999
298.35,663,1000,999999
298.8,664,1000,999999
299.25,665,1000,999999
